2012 Iris Drive,address
244 Panther Avenue,address
3392 Scott Boulevard Apt 4,address
231 Buckeye Street apartment 2,address
2034 Bull Court A,address
order,client_requests
help me find,client_requests
help,client_requests
how many,client_requests
how,client_requests
plan,client_requests
book,client_requests
buy,client_requests
purchase,client_requests
want,client_requests
need,client_requests
why,client_requests
where is,client_requests
I want,client_requests
I need,client_requests
definitely,confirm
absolutely,confirm
sure,confirm
yerp,confirm
yep,confirm
yes,confirm
yeah,confirm
yea,confirm
ya,confirm
nerp,decline
na,decline
nah,decline
nope,decline
no,decline
bye,goodbye
goodbye,goodbye
see ya,goodbye
see you later,goodbye
chow,goodbye
greetings,greeting
hello,greeting
hi,greeting
hiya,greeting
howdy,greeting
heya,greeting
salutations,greeting
shit,profanity
fuck,profanity
damn,profanity
masturbate,profanity
pornography,profanity
porn,profanity
asdf asdfasdfsafasfsadfsdfasdf,profanity
easdfgaeas,profanity
asafasdfasdf,profanity
a a a a a a a a  a a a a a a a a a a  a a a  a a  a  a a,profanity
ass,profanity
dick,profanity
pussy,profanity
sdffeeee,profanity
help help help help help help help help help help help,profanity
you are a piece of shit,profanity
fuck you merabot,profanity
asdfasdfasdfasdfasdfasdfsdfasf,profanity
asfasfasdfasfasdfasdfasdflk;asjdf;lkasdjf,profanity
damnit,profanity
sexy bullshit,profanity
so fucking hungry,profanity
fucking,profanity
asshole,profanity
go kill yourself,profanity
i need to have sex,profanity
sex,profanity
shitting,profanity
bitch,profanity
bitchy,profanity
bitching,profanity
bitchin,profanity
asdfasdfasdfasdfasdfasdfasdf,profanity
asdfasdfeeasdfefeefefefeefef,profanity
I want to speak to an agent,speakToAgent
I need to speak with an agent,speakToAgent
Speak to agent,speakToAgent
Talk with agent,speakToAgent
Talk with merabot agent,speakToAgent
Speak to an agent,speakToAgent
